Vuosi	Tammi	Helmi	Maalis	Huhti	Touko	Kesä	Heinä	Elo	Syys	Loka	Marras	Joulu
1906	61.0	53.0	49.0	59.0	35.0	50.0	53.0	148.0	56.0	26.0	84.0	72.0
1907	51.0	36.0	36.0	33.0	59.0	91.0	57.0	100.0	79.0	31.0	33.0	14.0
1908	32.0	50.0	39.0	38.0	33.0	50.0	43.0	39.0	58.0	69.0	30.0	26.0
1909	39.0	16.0	65.0	47.0	39.0	32.0	75.0	66.0	45.0	67.0	106.0	84.0
1910	59.0	80.0	23.0	18.0	59.0	40.0	112.0	44.0	56.0	33.0	133.0	108.0
1911	42.0	79.0	17.0	39.0	37.0	7.0	40.0	83.0	65.0	74.0	100.0	48.0
1912	37.0	21.0	50.0	29.0	68.0	84.0	8.0	92.0	101.0	103.0	101.0	83.0
1913	13.0	43.0	71.0	36.0	25.0	38.0	36.0	69.0	19.0	30.0	87.0	59.0
1914	34.0	21.0	62.0	20.0	73.0	27.0	12.0	24.0	94.0	23.0	45.0	121.0
1915	56.0	31.0	32.0	41.0	58.0	43.0	76.0	40.0	116.0	49.0	95.0	87.0
1916	65.0	50.0	48.0	30.0	97.0	102.0	32.0	105.0	39.0	72.0	84.0	54.0
1917	45.0	41.0	22.0	50.0	10.0	42.0	8.0	10.0	95.0	89.0	91.0	65.0
1918	85.0	50.0	7.0	33.0	5.0	67.0	74.0	55.0	159.0	49.0	21.0	99.0
1919	53.0	26.0	60.0	49.0	9.0	73.0	38.0	74.0	44.0	67.0	73.0	61.0
1920	63.0	58.0	26.0	85.0	59.0	43.0	61.0	94.0	56.0	21.0	36.0	19.0
1921	117.0	37.0	43.0	35.0	34.0	80.0	61.0	52.0	54.0	85.0	31.0	79.0
1922	46.0	25.0	41.0	36.0	60.0	94.0	66.0	118.0	58.0	14.0	64.0	38.0
1923	62.0	18.0	14.0	20.0	55.0	62.0	36.0	122.0	96.0	120.0	134.0	61.0
1924	58.0	50.0	56.0	35.0	66.0	69.0	28.0	100.0	106.0	85.0	36.0	42.0
1925	44.0	24.0	32.0	43.0	29.0	84.0	87.0	128.0	118.0	65.0	71.0	79.0
1926	46.0	41.0	43.0	30.0	93.0	32.0	26.0	73.0	31.0	78.0	38.0	30.0
1927	58.0	36.0	52.0	63.0	100.0	44.0	25.0	99.0	78.0	127.0	72.0	37.0
1928	40.0	57.0	14.0	37.0	106.0	74.0	51.0	112.0	65.0	94.0	81.0	54.0
1929	47.0	7.0	16.0	53.0	36.0	42.0	70.0	77.0	85.0	108.0	78.0	85.0
1930	47.0	21.0	34.0	39.0	59.0	25.0	84.0	76.0	36.0	63.0	126.0	34.0
1931	79.0	50.0	43.0	20.0	50.0	50.0	53.0	49.0	95.0	63.0	22.0	128.0
1932	57.0	27.0	33.0	82.0	78.0	31.0	47.0	72.0	67.0	72.0	85.0	35.0
1933	42.0	44.0	36.0	56.0	17.0	8.0	61.0	70.0	24.0	59.0	22.0	51.0
1934	33.0	23.0	44.0	42.0	30.0	16.0	64.0	44.0	68.0	163.0	77.0	26.0
1935	40.0	54.0	44.0	78.0	11.0	57.0	77.0	132.0	105.0	125.0	26.0	85.0
1936	77.0	44.0	40.0	36.0	86.0	28.0	71.0	38.0	61.0	89.0	43.0	29.0
1937	44.0	52.0	72.0	25.0	30.0	36.0	58.0	53.0	90.0	19.0	82.0	64.0
1938	58.0	15.0	23.0	39.0	34.0	39.0	29.0	25.0	33.0	155.0	53.0	36.0
1939	48.0	27.0	18.0	32.0	24.0	8.0	77.0	26.0	40.0	17.0	55.0	27.0
1940	33.0	19.0	29.0	24.0	21.0	50.0	29.0	52.0	104.0	40.0	151.0	39.0
1941	12.0	64.0	66.0	8.0	17.0	14.0	12.0	104.0	48.0	39.0	37.0	74.0
1942	49.0	32.0	17.0	22.0	23.0	27.0	75.0	33.0	90.0	56.0	33.0	94.0
1943	48.0	55.0	30.0	38.0	42.0	74.0	92.0	140.0	60.0	80.0	121.0	40.0
1944	72.0	19.0	45.0	52.0	82.0	119.0	59.0	50.0	105.0	75.0	146.0	116.0
1945	85.0	64.0	41.0	43.0	28.0	54.0	98.0	75.0	31.0	85.0	47.0	56.0
1946	30.0	54.0	34.0	39.0	63.0	64.0	34.0	59.0	114.0	19.0	47.0	19.0
1947	35.0	22.0	48.0	60.0	35.0	36.0	95.0	28.0	20.0	31.0	50.0	84.0
1948	79.0	9.0	21.0	37.0	42.0	42.0	24.0	87.0	66.0	67.0	59.0	38.0
